coverage_support,seqId,seq,semantic
3427,306,708298 1154029 -1  -2 ,'Midazolam' 'Fentanyl' -1 -2 
3082,49,586413 -1  -2 ,'pneumococcal polysaccharides (23)' -1 -2 
2776,20,1326303 -1  -2 ,'Digoxin' -1 -2 
2701,41,920458 -1  -2 ,'Betamethasone' -1 -2 
2665,46,791967 -1  -2 ,'Lorazepam' -1 -2 
2394,294,974166 -1 974166 -1  -2 ,'Hydrochlorothiazide' -1 'Hydrochlorothiazide' -1 -2 
2771,27,1136980 -1  -2 ,'Ketorolac' -1 -2 
2405,15,1502905 -1  -2 ,'Insulin. Glargine. Human' -1 -2 
2609,38,948078 -1  -2 ,'pantoprazole' -1 -2 
2598,16,1501700 -1  -2 ,'Thyroxine' -1 -2 
2121,5,19015230 -1  -2 ,'Adenosine Triphosphate' -1 -2 
2404,6,1777806 -1  -2 ,'Ceftriaxone' -1 -2 
2657,36,975125 -1  -2 ,'Hydrocortisone' -1 -2 
2413,260,1137529 1149380 -1  -2 ,'salmeterol' 'fluticasone' -1 -2 
2781,3,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
2578,147,1539403 -1 1539403 -1  -2 ,'Simvastatin' -1 'Simvastatin' -1 -2 
1751,1,19135941 -1  -2 ,'Thallous chloride Tl201' -1 -2 
1700,50,529303 -1  -2 ,'Diphtheria Toxoid Vaccine' -1 -2 
2475,11,1707164 -1  -2 ,'Metronidazole' -1 -2 
2033,248,1125315 1201620 -1  -2 ,'Acetaminophen' 'Codeine' -1 -2 
1986,14,1510813 -1  -2 ,'rosuvastatin' -1 -2 
3117,35,989878 -1  -2 ,'Lidocaine' -1 -2 
2567,253,956874 -1 1346823 -1  -2 ,'Furosemide' -1 'carvedilol' -1 -2 
2362,45,904453 -1  -2 ,'Esomeprazole' -1 -2 
2079,32,1115008 -1  -2 ,'Naproxen' -1 -2 
2493,33,1110410 -1  -2 ,'Morphine' -1 -2 
2012,22,1308842 -1  -2 ,'valsartan' -1 -2 
2012,311,19121608 -1 19121608 -1 19121608 -1  -2 ,'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 'Influenza virus vaccine' -1 -2 
2585,10,1716903 -1  -2 ,'moxifloxacin' -1 -2 
2011,23,1301025 -1  -2 ,'Enoxaparin' -1 -2 
2136,310,903963 -1 903963 -1  -2 ,'Triamcinolone' -1 'Triamcinolone' -1 -2 
2151,13,1526475 -1  -2 ,'ezetimibe' -1 -2 
1616,17,1398937 -1  -2 ,'Clonidine' -1 -2 
2598,8,1754994 -1  -2 ,'Fluconazole' -1 -2 
2398,43,906780 -1  -2 ,'Metoclopramide' -1 -2 
1567,2,19090761 -1  -2 ,'regadenoson' -1 -2 
1709,18,1383815 -1  -2 ,'Isosorbide' -1 -2 
1634,0,19136030 -1  -2 ,'Saline Solution. Hypertonic' -1 -2 
1597,25,1154332 -1  -2 ,'Pseudoephedrine' -1 -2 
1613,21,1309944 -1  -2 ,'Amiodarone' -1 -2 
1962,31,1126658 -1  -2 ,'Hydromorphone' -1 -2 
1597,12,1551860 -1  -2 ,'Pravastatin' -1 -2 
1976,549,939506 967823 986417 19049105 -1  -2 ,'Sodium Bicarbonate' 'Sodium Chloride' 'POLYETHYLENE GLYCOL 3350' 'Potassium Chloride' -1 -2 
1955,264,1112921 1154343 -1  -2 ,'Ipratropium' 'Albuterol' -1 -2 
1718,19,1367500 -1  -2 ,'Losartan' -1 -2 
1857,48,723013 -1  -2 ,'Diazepam' -1 -2 
2675,268,956874 -1 1308216 -1  -2 ,'Furosemide' -1 'Lisinopril' -1 -2 
2200,24,1192710 -1  -2 ,'Chlorpheniramine' -1 -2 
2099,221,1310149 -1 1310149 -1  -2 ,'Warfarin' -1 'Warfarin' -1 -2 
1640,39,929887 -1  -2 ,'lansoprazole' -1 -2 
1964,145,1545958 -1 1545958 -1  -2 ,'atorvastatin' -1 'atorvastatin' -1 -2 
2195,72,1506270 -1 19121608 -1  -2 ,'Methylprednisolone' -1 'Influenza virus vaccine' -1 -2 
1690,44,905233 -1  -2 ,'Mometasone' -1 -2 
1705,245,1163944 1201620 -1  -2 ,'Guaifenesin' 'Codeine' -1 -2 
1718,30,1129625 -1  -2 ,'Diphenhydramine' -1 -2 
1552,47,739138 -1  -2 ,'Sertraline' -1 -2 
2848,63,19121608 -1 1713332 -1  -2 ,'Influenza virus vaccine' -1 'Amoxicillin' -1 -2 
1555,42,907013 -1  -2 ,'Metolazone' -1 -2 
1971,7,1771162 -1  -2 ,'Cefazolin' -1 -2 
1791,37,951511 -1  -2 ,'Mupirocin' -1 -2 
1564,4,19045045 -1  -2 ,'Vitamin D2' -1 -2 
2205,40,922570 -1  -2 ,'Nystatin' -1 -2 
2004,263,1125315 -1 1153664 -1  -2 ,'Acetaminophen' -1 'Propoxyphene' -1 -2 
1791,26,1153428 -1  -2 ,'fexofenadine' -1 -2 
1551,155,1518254 -1 1518254 -1  -2 ,'Dexamethasone' -1 'Dexamethasone' -1 -2 
2252,269,956874 -1 1307046 -1  -2 ,'Furosemide' -1 'Metoprolol' -1 -2 
1731,106,903963 -1 19121608 -1  -2 ,'Triamcinolone' -1 'Influenza virus vaccine' -1 -2 
1785,254,1125315 -1 1177480 -1  -2 ,'Acetaminophen' -1 'Ibuprofen' -1 -2 
2443,267,1308216 -1 956874 -1  -2 ,'Lisinopril' -1 'Furosemide' -1 -2 
1956,28,1136601 -1  -2 ,'benzonatate' -1 -2 
1577,378,1506270 -1 1506270 -1 1506270 -1  -2 ,'Methylprednisolone' -1 'Methylprednisolone' -1 'Methylprednisolone' -1 -2 
2055,71,19121608 -1 1506270 -1  -2 ,'Influenza virus vaccine' -1 'Methylprednisolone' -1 -2 
2202,464,1125315 1174888 -1 1308216 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Lisinopril' -1 -2 
2016,161,1503297 -1 1503297 -1  -2 ,'Metformin' -1 'Metformin' -1 -2 
1877,480,1154343 -1 1154343 -1 1154343 -1  -2 ,'Albuterol' -1 'Albuterol' -1 'Albuterol' -1 -2 
2070,113,1734104 -1 1797513 -1  -2 ,'Azithromycin' -1 'Ciprofloxacin' -1 -2 
1787,29,1135766 -1  -2 ,'Phenylephrine' -1 -2 
2102,159,1307046 -1 1713332 -1  -2 ,'Metoprolol' -1 'Amoxicillin' -1 -2 
2511,365,1713332 -1 1713332 -1 1713332 -1  -2 ,'Amoxicillin' -1 'Amoxicillin' -1 'Amoxicillin' -1 -2 
2012,80,1308216 -1 19121608 -1  -2 ,'Lisinopril' -1 'Influenza virus vaccine' -1 -2 
1647,9,1750500 -1  -2 ,'Clarithromycin' -1 -2 
2686,282,956874 -1 1154343 -1  -2 ,'Furosemide' -1 'Albuterol' -1 -2 
2639,58,19121608 -1 1734104 -1  -2 ,'Influenza virus vaccine' -1 'Azithromycin' -1 -2 
1930,465,1125315 1174888 -1 1307046 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Metoprolol' -1 -2 
1865,149,1346823 -1 1713332 -1  -2 ,'carvedilol' -1 'Amoxicillin' -1 -2 
1624,225,1307046 -1 1308216 -1  -2 ,'Metoprolol' -1 'Lisinopril' -1 -2 
2446,144,1551099 -1 1551099 -1  -2 ,'Prednisone' -1 'Prednisone' -1 -2 
1734,277,1125315 -1 997881 -1  -2 ,'Acetaminophen' -1 'Clindamycin' -1 -2 
1636,105,19121608 -1 903963 -1  -2 ,'Influenza virus vaccine' -1 'Triamcinolone' -1 -2 
2427,201,956874 -1 1742253 -1  -2 ,'Furosemide' -1 'Levofloxacin' -1 -2 
2126,109,1797513 -1 1797513 -1  -2 ,'Ciprofloxacin' -1 'Ciprofloxacin' -1 -2 
1921,235,1361711 -1 1125315 -1  -2 ,'Nitroglycerin' -1 'Acetaminophen' -1 -2 
1861,210,1332418 -1 1332418 -1  -2 ,'Amlodipine' -1 'Amlodipine' -1 -2 
2374,252,1346823 -1 956874 -1  -2 ,'carvedilol' -1 'Furosemide' -1 -2 
2320,178,1154343 -1 1713332 -1  -2 ,'Albuterol' -1 'Amoxicillin' -1 -2 
1750,550,1705674 1836430 -1 1125315 1174888 -1  -2 ,'Trimethoprim' 'Sulfamethoxazole' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
